period,period_order,year,quarter,quarter_num,quarter_label,date
2023-Q1,20231,2023,Q1,1,Q1 2023,2023-01-01
2023-Q2,20232,2023,Q2,2,Q2 2023,2023-04-01
2023-Q3,20233,2023,Q3,3,Q3 2023,2023-07-01
2023-Q4,20234,2023,Q4,4,Q4 2023,2023-10-01
2024-Q1,20241,2024,Q1,1,Q1 2024,2024-01-01
2024-Q2,20242,2024,Q2,2,Q2 2024,2024-04-01
2024-Q3,20243,2024,Q3,3,Q3 2024,2024-07-01
2024-Q4,20244,2024,Q4,4,Q4 2024,2024-10-01
2025-Q1,20251,2025,Q1,1,Q1 2025,2025-01-01
2025-Q2,20252,2025,Q2,2,Q2 2025,2025-04-01
2025-Q3,20253,2025,Q3,3,Q3 2025,2025-07-01
2025-Q4,20254,2025,Q4,4,Q4 2025,2025-10-01
